slp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
476e36ec-a292-4d38-b23c-04565b8f4ecf;;1954-09-30;;MARIO LUCIO HERINGER;;;;
e21b2d7e-f5ee-4c57-bd80-315d98b6f547;;1961-05-09;;NELSON TRAD FILHO;;;;
e88acb8a-57cf-401e-ba6a-65e135473752;;1973-01-06;;SORAYA VIEIRA THRONICKE;;;;
43b9f202-5e34-4200-8069-f4c7019f21a4;;1949-09-25;;LUIZ ALBERTO OVANDO;;;;
150f5f19-7566-453d-8a6d-ac4f9aa749e0;;1978-02-20;;ROSIANE MODESTO DE OLIVEIRA;;;;
875f4d3b-9940-4728-b84a-6e9a24a42a88;;1977-11-14;;HUMBERTO REZENDE PEREIRA;;;;
0df7900f-7c00-4583-81ec-9e9d3e59f87d;;1969-08-18;;FABIO RICARDO TRAD;;;;
b24089ae-1681-4582-9929-9f124b5b330d;;1982-09-21;;LOESTER CARLOS GOMES DE SOUZA;;;;
b7e75ed6-b6cd-4ae7-abde-fae0656dcf1c;;1970-03-19;;JOSE ANTONIO DOS SANTOS MEDEIROS;;;;
33d669fd-7170-4b81-b3b8-fcb6de76c7b3;;1960-02-14;;NELSON NED PREVIDENTE;;;;
18560372-2c69-4bde-9463-43591e3f62f4;;1995-05-01;;EMANUEL PINHEIRO DA SILVA PRIMO;;;;
db7f4206-6fb9-4e87-88d1-cbe4dd124a39;;1963-08-08;;ROSA NEIDE SANDES DE ALMEIDA;;;;
b32b7de7-839e-4655-80d9-8600b624813c;;1968-07-11;;NERI GELLER;;;;
c6d3baac-a263-4830-8a2e-4ef7f7ec1b07;;1963-01-20;;SELMA ROSANE SANTOS ARRUDA;;;;
db187329-cf52-4423-9c54-ed9353709cc5;;1960-01-20;;JUAREZ ALVES DA COSTA;;;;
ab5d932c-b042-4c06-a387-b574fddab32b;;1951-09-13;;JAYME VERISSIMO DE CAMPOS;;;;
be59df8f-225d-46a9-bc7d-79f3cdf60f2a;;1978-06-14;;LEONARDO RIBEIRO ALBUQUERQUE;;;;
ea5543a7-b04e-4bab-9e5c-0a624f889d4a;;1959-03-16;;AIRTON LUIZ FALEIRO;;;;
1e84b5e7-39b4-4993-9d7e-36ff757715a2;;1974-06-01;;PAULO EDUARDO MAESTRI BENGTSON;;;;
8757b442-2fe0-421e-8b16-22414cdc47b0;;1970-10-04;;CRISTIANO DUTRA VALE;;;;
cd286017-e4e4-4fb5-b9b3-8a3e9f944abf;;1981-12-09;;CASSIO COELHO ANDRADE;;;;
e1705875-d550-4fcb-a8a6-0d3a759967b2;;1959-09-18;;JOSE DA CRUZ MARINHO;;;;
d8ca29e2-2916-4642-a832-c8f8f74c01ac;;1982-09-01;;OLIVAL HENRIQUE MARQUES DE SOUZA;;;;
a470e055-65dd-47d8-a0fa-d1ae0b612a8d;;1944-10-27;;JADER FONTENELLE BARBALHO;;;;
86e16ffb-c65d-491d-a9d3-29dc7a643b35;;1978-08-29;;CELSO SABINO DE OLIVEIRA;;;;
8a3397e5-abca-49fc-830f-4d6e3600b53c;;1967-07-13;;JOAO FERRARI JUNIOR;;;;
ac3063a0-fbe6-4e58-9102-a39b491e13b7;;1969-06-20;;JOSE ROBERTO OLIVEIRA FARO;;;;
d93c5ed2-cb4b-4010-97e0-e12a0880809c;;1963-02-12;;JOSE BENITO PRIANTE JUNIOR;;;;
d391b143-e1ad-4f4c-a2ef-b6f574c140f8;;1982-03-06;;WAGNER BACH MARTINS;;;;
1b839891-1044-4083-8c06-cb43e4cf86dd;;1968-02-16;;JOSE EDUARDO PEREIRA DA COSTA;;;;
d512933b-b3a0-4ba2-a4b7-23756e083ca0;;1959-05-19;;JOSE WELLINGTON ROBERTO;;;;
bdf97fa3-827e-4aa1-89a8-b724ca10fe5c;;1972-03-26;;DANIELLA VELLOSO BORGES RIBEIRO;;;;
0f03e732-7655-4c8b-bb40-8ec8c00eefaa;;1957-10-06;;JOSE WILSON SANTIAGO;;;;
853a0933-d8d8-4c9b-a3b6-3caea3975574;;1975-04-14;;GERVASIO AGRIPINO MAIA;;;;
37a4006c-5bb6-4adc-8127-74407f734789;;1976-05-01;;GULLIEM CHARLES BEZERRA LEMOS;;;;
a1dee7e2-95c8-473d-8790-1fb8a27bcfe2;;1970-08-17;;RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR;;;;
132ab209-da5f-43e0-a5c4-22708f5c3a4f;;1944-03-03;;ANTONIO RIBEIRO;;;;
e304a8fd-a83e-4e63-96d0-ab67e80fcc85;;1970-07-17;;VENEZIANO VITAL DO REGO SEGUNDO NETO;;;;
c4507643-253e-4671-9471-84e06e52e8c9;;1952-04-28;;DAMIAO FELICIANO DA SILVA;;;;
f47a822a-302c-4325-94cd-8d93bb7af927;;1979-03-18;;EFRAIM DE ARAUJO MORAIS FILHO;;;;
9689d0d2-d41a-4763-b733-c4d25e6ffa77;;1958-04-09;;EDNACE ALVES SILVESTRE HENRIQUE;;;;
22079fcd-7f4d-4ddc-99d1-f3063eac7a11;;1989-11-09;;HUGO MOTTA WANDERLEY DA NOBREGA;;;;
c0c8e60a-4631-4e01-a744-a250b4943a12;;1983-11-17;;FERNANDO RODOLFO TENORIO DE VASCONCELOS;;;;
0699ad26-4a4c-4492-a5fe-fbc2f4120c75;;1982-05-03;;SILVIO SERAFIM COSTA FILHO;;;;
a0e5e88f-ea6b-44bb-840f-eb3cbbe23613;;1957-07-07;;HUMBERTO SERGIO COSTA LIMA;;;;
8b00083f-5ba5-4448-9a7e-38afc36bbe98;;1944-11-29;;LUCIANO CALDAS BIVAR;;;;
0741b7b4-f505-4ba7-b8da-76d76800ee62;;1987-12-11;;TULIO GADELHA SALES DE MELO;;;;
71db14f8-fb6c-444b-a0b9-160ebe75ff64;;1984-12-04;;MARILIA VALENCA ROCHA ARRAES DE ALENCAR;;;;
3a108dc5-eb8a-4124-9803-26a54ec91859;;1961-07-22;;ANDRE CARLOS ALVES DE PAULA FILHO;;;;
62d0795e-99b4-47d7-8f56-62c3cd919ae6;;1964-06-06;;RAUL JEAN LOUIS HENRY JUNIOR;;;;
73a27927-7641-4da9-9aab-6994396ecc67;;1972-10-12;;ANDRE FERREIRA RODRIGUES;;;;
ff7e2440-ffad-40c4-b05e-91a9f95502e5;;1954-09-12;;OSSESIO JOSE DA SILVA;;;;
a02425c2-e0d1-4765-972b-0fdedfdb0b55;;1993-11-26;;JOAO HENRIQUE DE ANDRADE LIMA CAMPOS;;;;
ee5eb56a-3c0b-4b3c-aedd-53bdb8c953b7;;1942-08-23;;JARBAS DE ANDRADE VASCONCELOS;;;;
26a18163-9c4a-488e-969b-5f31cd89539b;;1981-10-08;;JOSE CARLOS VERAS DOS SANTOS;;;;
8f1c1847-82c9-44e1-b8d0-ab953ff21485;;1959-04-20;;RENILDO VASCONCELOS CALHEIROS;;;;
539c1002-b546-4e56-b034-4d850029bcc1;;1991-09-19;;MARCOS AURELIO PADUA RIBEIRO GONCALVES DE SAMPAIO;;;;
4ec7e3cd-dba7-4e53-9a7a-c0ba71dddfc8;;1948-08-25;;JULIO CESAR DE CARVALHO LIMA;;;;
5e9420cb-3956-41f8-8dcb-dbdc7bed6061;;1953-02-27;;FLAVIO RODRIGUES NOGUEIRA;;;;
af93cbd8-c5ed-48ee-ab00-94069dc4fa2c;;1961-12-03;;MARGARETE DE CASTRO COELHO;;;;
8f743e5e-4aed-47c5-8ced-e696610c9627;;1980-09-13;;MARINA SANTOS BATISTA DIAS;;;;
d739b728-bdd6-434b-8b82-7614a4721f23;;1947-07-04;;ATILA FREITAS LIRA;;;;
3e37eefa-44fb-4c5e-82be-5f9675ed7a5d;;1968-11-21;;CIRO NOGUEIRA LIMA FILHO;;;;
6d9c768b-55ce-44cd-9dc5-9fbdde59aded;;1961-09-09;;FRANCISCO DE ASSIS CARVALHO GONCALVES;;;;
f5dfa8bc-030b-4b0f-b9cf-4edd4e264fe8;;1991-02-10;;LUIS FELIPE BONATTO FRANCISCHINI;;;;
